url,label
https://www.google.com/search?q=python,0
https://www.youtube.com/watch?v=abc,0
https://example.com/index.html,0
https://github.com/microsoft,0
https://www.stackoverflow.com/questions,0
https://www.linkedin.com/company/tech,0
https://www.amazon.in/,0
https://www.wikipedia.org/,0
https://www.nasa.gov/,0
https://login.paypal-secure-update.account.example.com/confirm,1
http://192.168.1.15/login,1
https://secure-verify-bank-account-update.com/confirm,1
https://bit.ly/xyz123,1
https://signin.office365-security-account.com/password,1
https://dropbox-account-recovery.net/confirm,1
https://account-verify-login-update.net/reset,1
https://icloud-secure-recovery-verify.tk/confirm,1
https://payment-secure-review-now.com/confirm,1
https://mail.printakid.com/www.online.americanexpress.com/index.html,1
https://login.secure.paypal.com/https://www.paypal.com/confirm,1
https://secure.bankofamerica-update.net/index.php?redirect=www.bankofamerica.com,1
https://www.paypal.com.update-account-check.com/signin,1
https://verify-apple-id-secure-login.net/account,1
https://login.microsoft-office-update.com/confirm,1
https://citibank-security-recovery.online/account/verify,1
